fold_i,fold_j,cosine_similarity
0,1,0.9282479536073804
0,2,0.11270472043913699
0,3,0.922468266081382
0,4,-0.09304530500852641
1,2,0.41119914319630674
1,3,0.8738586897426563
1,4,-0.31818055942068335
2,3,-0.06971146105763264
2,4,-0.9550571950963703
3,4,0.18224480775551719
