fold,train_size,val_size,accuracy,roc_auc,positive_rate
0,303,76,0.5263157894736842,0.40993788819875776,0.0891089108910891
1,303,76,0.5263157894736842,0.4078674948240165,0.0891089108910891
2,303,76,0.5263157894736842,0.27329192546583847,0.0891089108910891
3,303,76,0.4868421052631579,0.2091097308488613,0.0891089108910891
4,304,75,0.4666666666666667,0.4082125603864734,0.09210526315789473
