pair_id,group,date,important_deletion_delta,random_deletion_delta_mean,mask_percentile
0,event,2024-12-11T00:00:00.000000000,0.01761651039123535,0.027366362512111664,90
0,control,2025-01-21T00:00:00.000000000,0.060282379388809204,0.06062835827469826,90
1,event,2025-03-27T00:00:00.000000000,0.03125530481338501,0.07464402914047241,90
1,control,2025-03-21T00:00:00.000000000,0.06356543302536011,0.07849553227424622,90
2,event,2025-11-20T00:00:00.000000000,0.11524486541748047,0.05790835991501808,90
2,control,2024-11-06T00:00:00.000000000,0.025862377136945724,0.02891463041305542,90
3,event,2026-02-27T00:00:00.000000000,0.05475568771362305,0.04257722944021225,90
3,control,2025-01-21T00:00:00.000000000,0.060282379388809204,0.06374471634626389,90
