pair_id,event_idx,event_date,control_idx,control_date,match_method,distance_in_match_space
0,57,2024-12-11T00:00:00.000000000,85,2025-01-21T00:00:00.000000000,knn,6.536427021026611
1,132,2025-03-27T00:00:00.000000000,128,2025-03-21T00:00:00.000000000,knn,3.6372792720794678
2,302,2025-11-20T00:00:00.000000000,32,2024-11-06T00:00:00.000000000,knn,4.912766456604004
3,372,2026-02-27T00:00:00.000000000,85,2025-01-21T00:00:00.000000000,knn,4.494563579559326
