rank,label_date,cdew_value,is_event,concept_on
1,2024-10-17,0.28446824149071065,0,0
2,2025-10-21,0.27795772328398566,0,0
3,2025-03-11,0.2778328389218342,0,0
4,2025-04-14,0.2765503969129259,0,0
5,2024-12-31,0.27427208591907937,0,0
6,2025-04-15,0.270209836952357,0,0
7,2025-04-17,0.26919824175622287,0,0
8,2025-10-23,0.2688570657935407,0,0
9,2024-12-24,0.26596159565554417,0,0
10,2024-10-18,0.2652791857755154,0,0
