concept,pos,p_event_given_concept,p_event_given_concept_ci_low,p_event_given_concept_ci_high,p_event_given_nonconcept,p_event_given_nonconcept_ci_low,p_event_given_nonconcept_ci_high
FlightToSafety,34,0.0,0.0,0.0,0.02318840579710145,0.008695652173913044,0.04057971014492753
LiquiditySqueeze,0,,,,0.021108179419525065,0.0079155672823219,0.036939313984168866
