label_date,is_event,cdew_FlightToSafety,cdew_LiquiditySqueeze
2024-09-23,0,0.1634914737086838,
2024-09-24,0,0.17213102414896517,
2024-09-25,0,0.15210312935798265,
2024-09-26,0,0.12833352555708916,
2024-09-27,0,0.13818127897160354,
2024-09-30,0,0.13407065921744174,
2024-10-01,0,0.10472663499729108,
2024-10-02,0,0.13990399983429697,
2024-10-03,0,0.1388702218212329,
2024-10-04,0,0.16454470403709892,
2024-10-07,0,0.14308709775821943,
2024-10-08,0,0.1555069012941237,
2024-10-09,0,0.1821063702169984,
2024-10-10,0,0.20608001152767827,
2024-10-11,0,0.18087958105519805,
2024-10-14,0,0.19133713292951374,
2024-10-15,0,0.19091641459359351,
2024-10-16,0,0.21500290857460463,
2024-10-17,0,0.28446824149071065,
2024-10-18,0,0.2652791857755154,
2024-10-21,0,0.2149524942290633,
2024-10-22,0,0.17594880407756033,
2024-10-23,0,0.16395463065093782,
2024-10-24,0,0.1567312684488989,
2024-10-25,0,0.1425905423843458,
2024-10-28,0,0.12953968900904667,
2024-10-29,0,0.11434796745863106,
2024-10-30,0,0.10831696587394504,
2024-10-31,0,0.08798403898405237,
2024-11-01,0,0.14029472517212468,
2024-11-04,0,0.13387632468987948,
2024-11-05,0,0.13546514386921216,
2024-11-06,0,0.1474484462544808,
2024-11-07,0,0.15444898161082496,
2024-11-08,0,0.16133763892652023,
2024-11-11,0,0.193064907246503,
2024-11-12,0,0.18761657166524234,
2024-11-13,0,0.12556117323834634,
2024-11-14,0,0.11981010282688481,
2024-11-15,0,0.047409172706989494,
2024-11-18,0,0.0614624158124532,
2024-11-19,0,0.032413177677254816,
2024-11-20,0,0.03530975637536734,
2024-11-21,0,0.03275626982630747,
2024-11-22,0,0.03275626982630747,
2024-11-25,0,0.03815654072778498,
2024-11-26,0,0.05455124799562486,
2024-11-27,0,0.07196127476493232,
2024-11-28,0,0.11702467576264677,
2024-11-29,0,0.10856820305894989,
2024-12-02,0,0.16571321567252958,
2024-12-03,0,0.13635899014407946,
2024-12-04,0,0.10237097085571964,
2024-12-05,0,0.10495379913457689,
2024-12-06,0,0.09167987615882145,
2024-12-09,0,0.08303732935380394,
2024-12-10,0,0.10382932323878657,
2024-12-11,1,0.138837375212433,
2024-12-12,0,0.12338708965821332,
2024-12-13,0,0.08419188746701332,
2024-12-16,0,0.0791272343141808,
2024-12-17,0,0.1674734210557952,
2024-12-18,0,0.11985697215517958,
2024-12-19,0,0.10260386132770416,
2024-12-20,0,0.15967804628719492,
2024-12-23,0,0.19179580467338217,
2024-12-24,0,0.26596159565554417,
2024-12-25,0,0.23175456003000375,
2024-12-26,0,0.19163628655710505,
2024-12-27,0,0.2610923388187776,
2024-12-30,0,0.26118120119895727,
2024-12-31,0,0.27427208591907937,
2025-01-02,0,0.23416725150539786,
2025-01-03,0,0.16936171300809558,
2025-01-06,0,0.18416623973344345,
2025-01-07,0,0.21579132562818232,
2025-01-08,0,0.17327013809984368,
2025-01-09,0,0.18957367740486164,
2025-01-10,0,0.16791165188292417,
2025-01-13,0,0.16637793125151784,
2025-01-14,0,0.14003941942946665,
2025-01-15,0,0.16840558636762532,
2025-01-16,0,0.18481202823886309,
2025-01-17,0,0.18924935157576045,
2025-01-20,0,0.21032687541052023,
2025-01-21,0,0.20684971514831355,
2025-01-22,0,0.1886823405739683,
2025-01-23,0,0.1782816102320621,
2025-01-24,0,0.1341131259874508,
2025-01-27,0,0.10361530338185819,
2025-01-28,0,0.10397652473323023,
2025-01-29,0,0.10172608224106432,
2025-01-30,0,0.09119607196426661,
2025-01-31,0,0.10576952789962536,
2025-02-03,0,0.09618006074790432,
2025-02-04,0,0.06300342077084359,
2025-02-05,0,0.07538074573744355,
2025-02-06,0,0.06532699906762854,
2025-02-07,0,0.17172601714963912,
2025-02-10,0,0.17363779578521532,
2025-02-11,0,0.18003846672401913,
2025-02-12,0,0.2193382229812094,
2025-02-13,0,0.14845287213151773,
2025-02-14,0,0.19443132330637505,
2025-02-17,0,0.1479464330728277,
2025-02-18,0,0.11882791834655168,
2025-02-19,0,0.13436989790205825,
2025-02-20,0,0.1483019979154622,
2025-02-21,0,0.11496409351975084,
2025-02-24,0,0.09632789629341178,
2025-02-25,0,0.08227746917853164,
2025-02-26,0,0.1091916111403112,
2025-02-27,0,0.16468293465453146,
2025-02-28,0,0.1646911429678275,
2025-03-03,0,0.1272763365808615,
2025-03-04,0,0.1885549650160222,
2025-03-05,0,0.1664124542276481,
2025-03-06,0,0.242611378112381,
2025-03-07,0,0.2254376499503081,
2025-03-10,0,0.24263643405976698,
2025-03-11,0,0.2778328389218342,
2025-03-12,0,0.254982728526914,
2025-03-13,0,0.25171685221552925,
2025-03-14,0,0.22739384793484618,
2025-03-17,0,0.2357082404347246,
2025-03-18,0,0.25492157259381953,
2025-03-19,0,0.24722806797719582,
2025-03-20,0,0.22081087206890598,
2025-03-21,0,0.19692377447574602,
2025-03-24,0,0.17423881060976798,
2025-03-25,0,0.12171816189046548,
2025-03-26,0,0.1182436901283599,
2025-03-27,0,0.09005239969951688,
2025-03-28,1,0.10960032296157701,
2025-03-31,1,0.08694073479679403,
2025-04-01,1,0.07507714497547661,
2025-04-02,1,0.09535864833959382,
2025-04-03,1,0.07159380283159128,
2025-04-04,0,0.09401573643355944,
2025-04-07,1,0.16075647764709453,
2025-04-08,1,0.1670345830375877,
2025-04-09,0,0.18141507710525268,
2025-04-10,0,0.20641930189782404,
2025-04-11,0,0.2221753209110764,
2025-04-14,0,0.2765503969129259,
2025-04-15,0,0.270209836952357,
2025-04-16,0,0.2583540623371892,
2025-04-17,0,0.26919824175622287,
2025-04-18,0,0.2608044984565384,
2025-04-21,0,0.22945874531571747,
2025-04-22,0,0.22423165852810747,
2025-04-23,0,0.21306485611489695,
2025-04-24,0,0.20327079082449168,
2025-04-25,0,0.15619698349360917,
2025-04-28,0,0.16177743423830138,
2025-04-29,0,0.14741595579633437,
2025-04-30,0,0.1397960447413898,
2025-05-01,0,0.11096909771129046,
2025-05-02,0,0.09637939727962756,
2025-05-05,0,0.11845109082367825,
2025-05-06,0,0.09068475223599919,
2025-05-07,0,0.10148212322109697,
2025-05-08,0,0.13632894970784892,
2025-05-09,0,0.10840528013139517,
2025-05-12,0,0.05750645473861308,
2025-05-13,0,0.08443136706900868,
2025-05-14,0,0.09835206906287056,
2025-05-15,0,0.11810904185486792,
2025-05-16,0,0.10633139527007311,
2025-05-19,0,0.13078148489681415,
2025-05-20,0,0.09532298515203802,
2025-05-21,0,0.0932845117804087,
2025-05-22,0,0.08499555854641126,
2025-05-23,0,0.07771933301895532,
2025-05-26,0,0.10334598496481177,
2025-05-27,0,0.09240472612182628,
2025-05-28,0,0.09194569471795144,
2025-05-29,0,0.08780281352995188,
2025-05-30,0,0.075508685749993,
2025-06-02,0,0.11711800152898137,
2025-06-03,0,0.16559153597265122,
2025-06-04,0,0.13915528181899808,
2025-06-05,0,0.19778263149630265,
2025-06-06,0,0.17359279715554174,
2025-06-09,0,0.17922404387365684,
2025-06-10,0,0.1415350580036805,
2025-06-11,0,0.1207864756260422,
